EPC,AntnenaId,ChannelIndex,Phase,PeekRssi,Doppler,FirstReadTime,LastReadTime,Timestamp,pading
300833b2ddd9014000000000,1,1,3768,-31,78,1670310440494944,1670310440494944,1670310440494944,
300833b2ddd9014000000000,1,1,3764,-31,104,1670310440499537,1670310440499537,1670310440499537,
300833b2ddd9014000000000,1,1,3768,-31,104,1670310440505900,1670310440505900,1670310440505900,
300833b2ddd9014000000000,1,1,3776,-31,104,1670310440510760,1670310440510760,1670310440510760,
300833b2ddd9014000000000,1,1,3776,-31,78,1670310440514932,1670310440514932,1670310440514932,
300833b2ddd9014000000000,1,1,3768,-31,182,1670310440520922,1670310440520922,1670310440520922,
300833b2ddd9014000000000,1,1,3784,-31,78,1670310440525502,1670310440525502,1670310440525502,
300833b2ddd9014000000000,1,1,3772,-31,104,1670310440530839,1670310440530839,1670310440530839,
300833b2ddd9014000000000,1,1,3780,-31,26,1670310440535231,1670310440535231,1670310440535231,
300833b2ddd9014000000000,1,1,3784,-31,52,1670310440539388,1670310440539388,1670310440539388,
300833b2ddd9014000000000,1,1,3780,-31,78,1670310440544904,1670310440544904,1670310440544904,
300833b2ddd9014000000000,1,1,3776,-31,26,1670310440549781,1670310440549781,1670310440549781,
300833b2ddd9014000000000,1,1,3788,-31,26,1670310440556066,1670310440556066,1670310440556066,
300833b2ddd9014000000000,1,1,3776,-31,104,1670310440558725,1670310440558725,1670310440558725,
300833b2ddd9014000000000,1,1,3784,-31,52,1670310440565639,1670310440565639,1670310440565639,
300833b2ddd9014000000000,1,1,3780,-31,52,1670310440569059,1670310440569059,1670310440569059,
300833b2ddd9014000000000,1,1,3780,-31,182,1670310440574662,1670310440574662,1670310440574662,
300833b2ddd9014000000000,1,1,3776,-31,78,1670310440578644,1670310440578644,1670310440578644,
300833b2ddd9014000000000,1,1,3776,-31,130,1670310440583629,1670310440583629,1670310440583629,
300833b2ddd9014000000000,1,1,3788,-31,52,1670310440588934,1670310440588934,1670310440588934,
300833b2ddd9014000000000,1,1,3784,-31,52,1670310440593374,1670310440593374,1670310440593374,
300833b2ddd9014000000000,1,1,3780,-31,78,1670310440598015,1670310440598015,1670310440598015,
300833b2ddd9014000000000,1,1,3796,-31,26,1670310440604106,1670310440604106,1670310440604106,
300833b2ddd9014000000000,1,1,3780,-31,156,1670310440608302,1670310440608302,1670310440608302,
300833b2ddd9014000000000,1,1,3780,-31,78,1670310440614536,1670310440614536,1670310440614536,
300833b2ddd9014000000000,1,1,3792,-31,26,1670310440617654,1670310440617654,1670310440617654,
300833b2ddd9014000000000,1,1,3788,-31,26,1670310440622632,1670310440622632,1670310440622632,
300833b2ddd9014000000000,1,1,3784,-31,130,1670310440628992,1670310440628992,1670310440628992,
300833b2ddd9014000000000,1,1,3780,-31,104,1670310440633524,1670310440633524,1670310440633524,
300833b2ddd9014000000000,1,1,3784,-31,156,1670310440637463,1670310440637463,1670310440637463,
300833b2ddd9014000000000,1,1,3788,-31,52,1670310440642237,1670310440642237,1670310440642237,
300833b2ddd9014000000000,1,1,3784,-31,26,1670310440649380,1670310440649380,1670310440649380,
300833b2ddd9014000000000,1,1,3784,-31,78,1670310440652201,1670310440652201,1670310440652201,
300833b2ddd9014000000000,1,1,3784,-31,130,1670310440657880,1670310440657880,1670310440657880,
300833b2ddd9014000000000,1,1,3792,-31,26,1670310440662557,1670310440662557,1670310440662557,
300833b2ddd9014000000000,1,1,3780,-31,104,1670310440666942,1670310440666942,1670310440666942,
300833b2ddd9014000000000,1,1,3780,-31,0,1670310440673037,1670310440673037,1670310440673037,
300833b2ddd9014000000000,1,1,3784,-31,78,1670310440676587,1670310440676587,1670310440676587,
300833b2ddd9014000000000,1,1,3788,-31,78,1670310440683322,1670310440683322,1670310440683322,
300833b2ddd9014000000000,1,1,3788,-31,104,1670310440686495,1670310440686495,1670310440686495,
300833b2ddd9014000000000,1,1,3792,-31,26,1670310440692652,1670310440692652,1670310440692652,
300833b2ddd9014000000000,1,1,3792,-31,26,1670310440697796,1670310440697796,1670310440697796,
300833b2ddd9014000000000,1,1,3792,-31,52,1670310440702820,1670310440702820,1670310440702820,
300833b2ddd9014000000000,1,1,3784,-31,104,1670310440707449,1670310440707449,1670310440707449,
300833b2ddd9014000000000,1,1,3788,-31,78,1670310440712728,1670310440712728,1670310440712728,
300833b2ddd9014000000000,1,1,3788,-31,104,1670310440718064,1670310440718064,1670310440718064,
300833b2ddd9014000000000,1,1,3788,-31,104,1670310440723471,1670310440723471,1670310440723471,
300833b2ddd9014000000000,1,1,3792,-31,0,1670310440727108,1670310440727108,1670310440727108,
300833b2ddd9014000000000,1,1,3784,-31,130,1670310440731864,1670310440731864,1670310440731864,
300833b2ddd9014000000000,1,1,3792,-31,52,1670310440737084,1670310440737084,1670310440737084,
300833b2ddd9014000000000,1,1,3792,-31,0,1670310440742670,1670310440742670,1670310440742670,
300833b2ddd9014000000000,1,1,3792,-31,104,1670310440746275,1670310440746275,1670310440746275,
300833b2ddd9014000000000,1,1,3784,-31,104,1670310440751818,1670310440751818,1670310440751818,
300833b2ddd9014000000000,1,1,3788,-31,78,1670310440757152,1670310440757152,1670310440757152,
300833b2ddd9014000000000,1,1,3776,-31,156,1670310440761458,1670310440761458,1670310440761458,
300833b2ddd9014000000000,1,1,3796,-31,78,1670310440767248,1670310440767248,1670310440767248,
300833b2ddd9014000000000,1,1,3780,-31,182,1670310440771302,1670310440771302,1670310440771302,
300833b2ddd9014000000000,1,1,3788,-31,52,1670310440778442,1670310440778442,1670310440778442,
300833b2ddd9014000000000,1,1,3792,-31,52,1670310440784392,1670310440784392,1670310440784392,
300833b2ddd9014000000000,1,1,3796,-31,0,1670310440789230,1670310440789230,1670310440789230,
300833b2ddd9014000000000,1,1,3796,-31,26,1670310440795212,1670310440795212,1670310440795212,
300833b2ddd9014000000000,1,1,3788,-31,78,1670310440799940,1670310440799940,1670310440799940,
300833b2ddd9014000000000,1,1,3788,-31,104,1670310440806957,1670310440806957,1670310440806957,
300833b2ddd9014000000000,1,1,3792,-31,104,1670310440811009,1670310440811009,1670310440811009,
300833b2ddd9014000000000,1,1,3788,-31,78,1670310440817886,1670310440817886,1670310440817886,
300833b2ddd9014000000000,1,1,3792,-31,52,1670310440821388,1670310440821388,1670310440821388,
300833b2ddd9014000000000,1,1,3788,-31,78,1670310440825470,1670310440825470,1670310440825470,
300833b2ddd9014000000000,1,1,3792,-31,52,1670310440832369,1670310440832369,1670310440832369,
300833b2ddd9014000000000,1,1,3792,-31,52,1670310440835547,1670310440835547,1670310440835547,
300833b2ddd9014000000000,1,1,3784,-31,130,1670310440841306,1670310440841306,1670310440841306,
300833b2ddd9014000000000,1,1,3804,-31,26,1670310440845883,1670310440845883,1670310440845883,
300833b2ddd9014000000000,1,1,3792,-31,104,1670310440851421,1670310440851421,1670310440851421,
300833b2ddd9014000000000,1,1,3792,-31,104,1670310440857024,1670310440857024,1670310440857024,
300833b2ddd9014000000000,1,1,3784,-31,130,1670310440861015,1670310440861015,1670310440861015,
300833b2ddd9014000000000,1,1,3804,-31,-26,1670310440868715,1670310440868715,1670310440868715,
300833b2ddd9014000000000,1,1,3792,-31,78,1670310440872985,1670310440872985,1670310440872985,
300833b2ddd9014000000000,1,1,3780,-31,130,1670310440878613,1670310440878613,1670310440878613,
300833b2ddd9014000000000,1,1,3788,-31,156,1670310440883035,1670310440883035,1670310440883035,
300833b2ddd9014000000000,1,1,3788,-31,52,1670310440887832,1670310440887832,1670310440887832,
300833b2ddd9014000000000,1,1,3800,-31,52,1670310440893042,1670310440893042,1670310440893042,
300833b2ddd9014000000000,1,1,3780,-31,156,1670310440899020,1670310440899020,1670310440899020,
300833b2ddd9014000000000,1,1,3788,-31,0,1670310440903503,1670310440903503,1670310440903503,
300833b2ddd9014000000000,1,1,3796,-31,78,1670310440909985,1670310440909985,1670310440909985,
300833b2ddd9014000000000,1,1,3792,-31,0,1670310440912597,1670310440912597,1670310440912597,
300833b2ddd9014000000000,1,1,3792,-31,78,1670310440918730,1670310440918730,1670310440918730,
300833b2ddd9014000000000,1,1,3788,-31,78,1670310440923789,1670310440923789,1670310440923789,
300833b2ddd9014000000000,1,1,3792,-31,78,1670310440929417,1670310440929417,1670310440929417,
300833b2ddd9014000000000,1,1,3796,-31,52,1670310440934756,1670310440934756,1670310440934756,
300833b2ddd9014000000000,1,1,3784,-31,104,1670310440940364,1670310440940364,1670310440940364,
300833b2ddd9014000000000,1,1,3800,-31,26,1670310440943234,1670310440943234,1670310440943234,
300833b2ddd9014000000000,1,1,3792,-31,78,1670310440948514,1670310440948514,1670310440948514,
300833b2ddd9014000000000,1,1,3788,-31,78,1670310440953939,1670310440953939,1670310440953939,
300833b2ddd9014000000000,1,1,3792,-31,104,1670310440959543,1670310440959543,1670310440959543,
300833b2ddd9014000000000,1,1,3796,-31,26,1670310440965680,1670310440965680,1670310440965680,
300833b2ddd9014000000000,1,1,3784,-31,104,1670310440969364,1670310440969364,1670310440969364,
300833b2ddd9014000000000,1,1,3788,-31,78,1670310440976122,1670310440976122,1670310440976122,
300833b2ddd9014000000000,1,1,3788,-31,52,1670310440979381,1670310440979381,1670310440979381,
